"Cheese Lasagna","Really good, really cheesy and super cheap to make","",""
"Cake","Chocolate cake","",""
"Taco","They are delicious","",""
"Pepperoni Pizza","A lot of pepperoni and a lot of cheese (no onions)","",""
"Beef Schwarma","Made with love","",""
"Icecream","Haggendast Caramel and biscuits","",""
"Tomatoe","Mozzarella and olive oil on top and azeitonas","",""
"Cake chocolat & peanut butter","Ingrédients : farine, cassonade, levure chimique, lait, chocolat noir, compote, huile de coco, beurre de cacahuètes.Préchauffez votre four à 200°C (thermostat 6-7). Dans un saladier mélangez la farine et le...","",""
"Couscous sans couscoussier","Ingrédients : oignon, carotte, navet, courgette, tomate, merguez, côte d'agneau, boeuf, cuisse de poulet, cumin, paprika, cannelle, coriandre, sel, huile d'olive.Laver et couper les légumes en morceaux de 2 à 3 cm....","",""
"Couscous with beer","A lot of strong and dark ale poured on the top of the couscous","5 minutes","true"
"Chili burger (burger épicé)","Ingrédients : viande, purée d'oignon, ail, tomate, oeuf, piment, edam, tomate, pain pour hamburger.Faire bouillir 25 cl d'eau rajouter le 1/2 sachet de potage et laisser cuire pendant 3 min. Laisser refroidir. Hacher...","30 min",""
"Taco with beer","Taco with a lot of cheese and beer","5 minutes","true"
"Taco without beer","Just buy a taco on the street","0 minutes","false"
"Cuisses de grenouille citronnées et persillés","Ingrédients : cuisse de grenouille, farine, beurre, huile, citron, persil, poivre, sel.Passez les cuisses de grenouille dans la farine, salez, poivrez puis faites-les sauter à la poêle avec un peu d'huile chaude....","20 min","false","temps"
"Soufflé au fromage qui ne tombe pas","Ingrédients : oeuf,comté râpé,farine,beurre,lait,muscade,sel.Préchauffer le four à 180°C (thermostat 6). ...","50 min","false","facile"
